,energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
292,846.1,0.2,0.054,0.0117,,,,,,,,,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
293,848.9,0.2,0.02808,0.007913861257313,,1811.6,,962.6,[E1],,,0.005,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
294,851.58,0.1,0.0069,0.00011,,851.75,,0.0,[E2],,,0.01514,,91,143,Pa,X,73.92,,(0-),1.159,,11,m,69.54,0.66,B-,99.84,0.04,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
295,851.8,0.1,0.0756,0.0225,,851.7,,0.0,[E2],,,0.01513,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
296,857.7,0.2,0.0378,0.00819,,1784.2,,926.7,[E2],,,0.01493,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
297,863.2,0.2,0.0756,0.0225,,1811.6,,947.6,[E2 M1],,,0.036,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
298,866.8,1.0,0.00114,0.00014,,1911.10,,1044.539,,,,,,91,143,Pa,X,73.92,,(0-),1.159,,11,m,69.54,0.66,B-,99.84,0.04,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
299,869.7,0.1,0.2052,0.0275494101570251,,2144.0,,1274.3,,,,,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
300,874.0,0.3,0.0378,0.00819,,1722.9,,849.0,[E2 M1],,,0.035,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
301,876.0,0.1,2.646,0.2215554332441432,,1172.0,,296.0,(E2),,,0.01432,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
