Library index,Radionuclide,Radiation number,Key radiation Boolean,Radiation energy (keV),Uncertainty of radiation energy (keV),Emission probability (%),Uncertainty of emission probability (%),Parent energy level,Angular momentum and parity,Half-life,Uncertainty of half-life,Half-life unit,Half-life (s),Decay mode,Branching fraction (%),Uncertainty of branching fraction (%),Literature cutoff date,Literature authors,Database access date,Database
92,Th-231,21,0,115.63,0.03,0.00102,0.00027,0.0,5/2+,25.57,8,h,92052.0,B-,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
93,Th-231,22,0,116.83,0.02,0.0228,0.0014,0.0,5/2+,25.57,8,h,92052.0,B-,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
94,Th-231,23,0,124.927,0.018,0.0598,0.0016,0.0,5/2+,25.57,8,h,92052.0,B-,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
95,Th-231,24,0,134.03,0.02,0.0258,0.0007,0.0,5/2+,25.57,8,h,92052.0,B-,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
96,Th-231,25,0,135.67,0.011,0.0809,0.0027,0.0,5/2+,25.57,8,h,92052.0,B-,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
97,Th-231,26,0,136.75,0.07,0.00449,0.00021,0.0,5/2+,25.57,8,h,92052.0,B-,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
98,Th-231,27,0,145.06,0.04,0.00592,0.00041,0.0,5/2+,25.57,8,h,92052.0,B-,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
99,Th-231,28,0,145.94,0.02,0.0326,0.0014,0.0,5/2+,25.57,8,h,92052.0,B-,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
100,Th-231,29,0,163.101,0.0054,0.158,0.006,0.0,5/2+,25.57,8,h,92052.0,B-,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
101,Th-231,30,0,165.0,0.05,0.00354,0.00015,0.0,5/2+,25.57,8,h,92052.0,B-,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
102,Th-231,31,0,169.65,0.03,0.00136,7e-05,0.0,5/2+,25.57,8,h,92052.0,B-,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
103,Th-231,32,0,174.15,0.02,0.0182,0.0007,0.0,5/2+,25.57,8,h,92052.0,B-,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
104,Th-231,33,0,183.489,0.02,0.034,0.0014,0.0,5/2+,25.57,8,h,92052.0,B-,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
105,Th-231,34,0,188.76,0.02,0.00333,0.00014,0.0,5/2+,25.57,8,h,92052.0,B-,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
106,Th-231,35,0,217.94,0.03,0.0408,0.0009,0.0,5/2+,25.57,8,h,92052.0,B-,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
107,Th-231,36,0,236.04,0.06,0.0095,0.0004,0.0,5/2+,25.57,8,h,92052.0,B-,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
