Library index,Radionuclide,Radiation number,Priority number,Radiation energy (keV),Uncertainty of radiation energy (keV),Emission probability (%),Uncertainty of emission probability (%),Parent energy level,Angular momentum and parity,Half-life,Uncertainty of half-life,Half-life unit,Half-life (s),Decay mode,Branching fraction (%),Uncertainty of branching fraction (%),Literature cutoff date,Literature authors,Database access date,Database
81,Pa-233,26,0,16.678,,41.3,2.2,0.0,3/2-,26.975,13.0,d,2330640.0,B-,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
82,Pa-233,27,3,94.657,,9.056989875265527,0.2476799676665487,0.0,3/2-,26.975,13.0,d,2330640.0,B-,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
83,Pa-233,28,2,98.439,,14.498142909021174,0.3922099433061493,0.0,3/2-,26.975,13.0,d,2330640.0,B-,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
84,Pa-233,29,0,111.238,,5.230573449863961,0.1674491392993162,0.0,3/2-,26.975,13.0,d,2330640.0,B-,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
85,Pa-233,30,0,112.645,,7.0194295697174365,0.2231897018030307,0.0,3/2-,26.975,13.0,d,2330640.0,B-,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
86,Pa-233,31,0,114.446,,1.7888561198534747,0.0629567400771437,0.0,3/2-,26.975,13.0,d,2330640.0,B-,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
87,U-233,1,0,13.244,,0.0024,0.0007,0.0,5/2+,159190.0,15.0,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
88,U-233,2,0,25.3106,0.0008,0.00211,0.00012,0.0,5/2+,159190.0,15.0,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
89,U-233,3,0,29.1851,0.0004,0.0078,0.001,0.0,5/2+,159190.0,15.0,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
90,U-233,4,0,29.19,,0.0027,0.0005,0.0,5/2+,159190.0,15.0,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
91,U-233,5,0,42.4349,0.0002,0.072,0.004,0.0,5/2+,159190.0,15.0,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
92,U-233,6,0,42.6333,0.0002,0.0132,0.0007,0.0,5/2+,159190.0,15.0,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
93,U-233,7,0,53.6106,0.0011,0.00347,0.0001799999999999,0.0,5/2+,159190.0,15.0,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
94,U-233,8,2,54.7039,0.0011,0.0168,0.0008,0.0,5/2+,159190.0,15.0,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
95,U-233,9,0,57.72,0.01,0.0015,0.0,0.0,5/2+,159190.0,15.0,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
96,U-233,10,0,66.1183,0.0006,0.00106,6e-05,0.0,5/2+,159190.0,15.0,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
97,U-233,11,0,71.812,0.008,0.00181,0.00014,0.0,5/2+,159190.0,15.0,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
98,U-233,12,0,71.8159,0.002,0.00116,0.00012,0.0,5/2+,159190.0,15.0,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
99,U-233,13,0,74.542,0.005,0.00149,8e-05,0.0,5/2+,159190.0,15.0,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
100,U-233,14,0,96.22,0.03,0.0017,8.99999999999e-05,0.0,5/2+,159190.0,15.0,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
101,U-233,15,1,97.1346,0.0003,0.0203,0.001,0.0,5/2+,159190.0,15.0,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
102,U-233,16,0,97.37,0.04,0.002,0.0006,0.0,5/2+,159190.0,15.0,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
103,U-233,17,0,117.162,0.002,0.00287,0.00014,0.0,5/2+,159190.0,15.0,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
104,U-233,18,0,118.968,0.005,0.00363,0.0001799999999999,0.0,5/2+,159190.0,15.0,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
105,U-233,19,0,120.819,0.002,0.00282,0.00015,0.0,5/2+,159190.0,15.0,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
106,U-233,20,0,135.339,0.0005,0.00197,0.0001,0.0,5/2+,159190.0,15.0,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
107,U-233,21,0,145.35,0.02,0.00173,7e-05,0.0,5/2+,159190.0,15.0,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
108,U-233,22,0,146.3462,0.0006,0.0065,0.0003,0.0,5/2+,159190.0,15.0,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
109,U-233,23,0,164.524,0.0005,0.006,0.0003,0.0,5/2+,159190.0,15.0,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
110,U-233,24,0,187.967,0.0003,0.00187,8.99999999999e-05,0.0,5/2+,159190.0,15.0,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
111,U-233,25,0,208.179,0.007,0.00229,0.00011,0.0,5/2+,159190.0,15.0,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
112,U-233,26,0,217.151,0.004,0.00328,0.00016,0.0,5/2+,159190.0,15.0,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
113,U-233,27,0,245.35,0.001,0.00357,0.0001799999999999,0.0,5/2+,159190.0,15.0,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
114,U-233,28,0,248.724,0.001,0.0014,7e-05,0.0,5/2+,159190.0,15.0,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
115,U-233,29,0,278.108,0.002,0.00113,6e-05,0.0,5/2+,159190.0,15.0,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
116,U-233,30,0,291.355,0.009,0.00463,0.00025,0.0,5/2+,159190.0,15.0,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
117,U-233,31,0,317.169,0.002,0.0071,0.0004,0.0,5/2+,159190.0,15.0,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
