Library index,Radionuclide,Radiation number,Key radiation Boolean,Radiation energy (keV),Uncertainty of radiation energy (keV),Emission probability (%),Uncertainty of emission probability (%),Parent energy level,Angular momentum and parity,Half-life,Uncertainty of half-life,Half-life unit,Half-life (s),Decay mode,Branching fraction (%),Uncertainty of branching fraction (%),Literature cutoff date,Literature authors,Database access date,Database
73,Th-229,23,0,4930.0,2.0,0.16,0.05,0,5/2+,7880.0,120,Y,248668576679.78497,A,100.0,,1-Dec-2008,A. K. Jain (a) and  R. Raut (b) and  J. K. Tuli,2024-04-27,ENSDF
74,Th-229,24,0,4967.5,1.2,5.97,0.06,0,5/2+,7880.0,120,Y,248668576679.78497,A,100.0,,1-Dec-2008,A. K. Jain (a) and  R. Raut (b) and  J. K. Tuli,2024-04-27,ENSDF
75,Th-229,25,0,4978.5,1.2,3.17,0.04,0,5/2+,7880.0,120,Y,248668576679.78497,A,100.0,,1-Dec-2008,A. K. Jain (a) and  R. Raut (b) and  J. K. Tuli,2024-04-27,ENSDF
76,Th-229,26,0,5009.0,2.0,0.09,0.01,0,5/2+,7880.0,120,Y,248668576679.78497,A,100.0,,1-Dec-2008,A. K. Jain (a) and  R. Raut (b) and  J. K. Tuli,2024-04-27,ENSDF
77,Th-229,27,0,5023.0,2.0,0.009,0.003,0,5/2+,7880.0,120,Y,248668576679.78497,A,100.0,,1-Dec-2008,A. K. Jain (a) and  R. Raut (b) and  J. K. Tuli,2024-04-27,ENSDF
78,Th-229,28,0,5036.0,2.0,0.24,0.02,0,5/2+,7880.0,120,Y,248668576679.78497,A,100.0,,1-Dec-2008,A. K. Jain (a) and  R. Raut (b) and  J. K. Tuli,2024-04-27,ENSDF
79,Th-229,29,0,5047.0,2.0,0.2,,0,5/2+,7880.0,120,Y,248668576679.78497,A,100.0,,1-Dec-2008,A. K. Jain (a) and  R. Raut (b) and  J. K. Tuli,2024-04-27,ENSDF
80,Th-229,30,0,5053.0,2.0,6.6,0.1,0,5/2+,7880.0,120,Y,248668576679.78497,A,100.0,,1-Dec-2008,A. K. Jain (a) and  R. Raut (b) and  J. K. Tuli,2024-04-27,ENSDF
81,Th-229,31,0,5078.0,2.0,0.05,,0,5/2+,7880.0,120,Y,248668576679.78497,A,100.0,,1-Dec-2008,A. K. Jain (a) and  R. Raut (b) and  J. K. Tuli,2024-04-27,ENSDF
82,Rn-221,1,0,5778.0,2.0,1.5,0.15,0,7/2+,25.0,2,m,1500.0,A,22.0,1.0,1-DEC-2017,B. SINGH and  T. ROY and  K. BANERJEE,2024-04-27,ENSDF
83,Rn-221,2,0,5788.0,2.0,2.2,0.22,0,7/2+,25.0,2,m,1500.0,A,22.0,1.0,1-DEC-2017,B. SINGH and  T. ROY and  K. BANERJEE,2024-04-27,ENSDF
84,Rn-221,3,1,6037.0,2.0,16.2,1.62,0,7/2+,25.0,2,m,1500.0,A,22.0,1.0,1-DEC-2017,B. SINGH and  T. ROY and  K. BANERJEE,2024-04-27,ENSDF
85,Ac-225,1,0,5021.0,,0.001,,0,(3/2-),9.92,3,d,857088.0,A,100.0,,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27,ENSDF
86,Ac-225,2,0,5067.0,5.0,0.003,0.001,0,(3/2-),9.92,3,d,857088.0,A,100.0,,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27,ENSDF
87,Ac-225,3,0,5092.0,4.0,0.006,0.001,0,(3/2-),9.92,3,d,857088.0,A,100.0,,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27,ENSDF
88,Ac-225,4,0,5131.0,5.0,0.002,0.0008,0,(3/2-),9.92,3,d,857088.0,A,100.0,,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27,ENSDF
89,Ac-225,5,0,5131.0,5.0,0.002,0.0008,0,(3/2-),9.92,3,d,857088.0,A,100.0,,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27,ENSDF
90,Ac-225,6,0,5202.0,5.0,0.002,0.0005,0,(3/2-),9.92,3,d,857088.0,A,100.0,,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27,ENSDF
91,Ac-225,7,0,5211.0,3.0,0.03,0.003,0,(3/2-),9.92,3,d,857088.0,A,100.0,,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27,ENSDF
92,Ac-225,8,0,5239.0,4.0,0.003,0.0008,0,(3/2-),9.92,3,d,857088.0,A,100.0,,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27,ENSDF
93,Ac-225,9,0,5270.0,4.0,0.014,0.005,0,(3/2-),9.92,3,d,857088.0,A,100.0,,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27,ENSDF
94,Ac-225,10,0,5286.0,3.0,0.23,0.01,0,(3/2-),9.92,3,d,857088.0,A,100.0,,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27,ENSDF
95,Ac-225,11,0,5321.0,3.0,0.07,0.01,0,(3/2-),9.92,3,d,857088.0,A,100.0,,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27,ENSDF
96,Ac-225,12,0,5436.0,4.0,0.07,0.02,0,(3/2-),9.92,3,d,857088.0,A,100.0,,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27,ENSDF
97,Ac-225,13,0,5443.0,3.0,0.14,0.01,0,(3/2-),9.92,3,d,857088.0,A,100.0,,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27,ENSDF
98,Ac-225,14,0,5540.0,4.0,0.015,,0,(3/2-),9.92,3,d,857088.0,A,100.0,,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27,ENSDF
99,Ac-225,15,0,5545.0,4.0,0.03,0.01,0,(3/2-),9.92,3,d,857088.0,A,100.0,,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27,ENSDF
100,Ac-225,16,0,5554.0,4.0,0.1,,0,(3/2-),9.92,3,d,857088.0,A,100.0,,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27,ENSDF
101,Ac-225,17,0,5563.0,4.0,0.034,,0,(3/2-),9.92,3,d,857088.0,A,100.0,,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27,ENSDF
102,Ac-225,18,0,5580.0,3.0,1.2,0.1,0,(3/2-),9.92,3,d,857088.0,A,100.0,,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27,ENSDF
103,Ac-225,19,0,5598.0,4.0,0.04,,0,(3/2-),9.92,3,d,857088.0,A,100.0,,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27,ENSDF
104,Ac-225,20,0,5609.0,3.0,1.1,0.1,0,(3/2-),9.92,3,d,857088.0,A,100.0,,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27,ENSDF
105,Ac-225,21,0,5637.0,2.0,4.4,0.3,0,(3/2-),9.92,3,d,857088.0,A,100.0,,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27,ENSDF
106,Ac-225,22,0,5682.0,2.0,1.3,0.2,0,(3/2-),9.92,3,d,857088.0,A,100.0,,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27,ENSDF
107,Ac-225,23,0,5724.0,3.0,3.1,0.5,0,(3/2-),9.92,3,d,857088.0,A,100.0,,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27,ENSDF
108,Ac-225,24,0,5731.0,2.0,0.87,0.23,0,(3/2-),9.92,3,d,857088.0,A,100.0,,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27,ENSDF
109,Ac-225,25,0,5732.0,2.0,8.0,0.5,0,(3/2-),9.92,3,d,857088.0,A,100.0,,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27,ENSDF
110,Ac-225,26,0,5732.0,2.0,1.32,0.1,0,(3/2-),9.92,3,d,857088.0,A,100.0,,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27,ENSDF
111,Ac-225,27,0,5790.6,2.2,8.6,0.9,0,(3/2-),9.92,3,d,857088.0,A,100.0,,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27,ENSDF
112,Ac-225,28,0,5792.5,2.2,18.1,2.0,0,(3/2-),9.92,3,d,857088.0,A,100.0,,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27,ENSDF
113,Ac-225,29,0,5805.0,2.0,0.3,,0,(3/2-),9.92,3,d,857088.0,A,100.0,,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27,ENSDF
114,Ac-225,30,0,5829.9,1.4,0.023,,0,(3/2-),9.92,3,d,857088.0,A,100.0,,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27,ENSDF
115,Ac-225,31,1,5830.0,2.0,50.7,1.5,0,(3/2-),9.92,3,d,857088.0,A,100.0,,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27,ENSDF
116,Po-217,1,1,6539.0,4.0,97.5,2.5,0,(9/2+),1.53,5,s,1.53,A,95.0,,1-Jan-2022,M. S. Basunia,2024-04-27,ENSDF
117,Fr-221,1,0,5688.0,3.0,0.0019999,0.0009999500008,0,5/2-,4.9,2,m,294.0,A,100.0,,1-DEC-2017,F.G. KONDEV and  S. KUMAR,2024-04-27,ENSDF
118,Fr-221,2,0,5775.0,3.0,0.06499675,0.0049997501690084,0,5/2-,4.9,2,m,294.0,A,100.0,,1-DEC-2017,F.G. KONDEV and  S. KUMAR,2024-04-27,ENSDF
119,Fr-221,3,0,5782.0,4.0,0.00499975,0.0019999000025001,0,5/2-,4.9,2,m,294.0,A,100.0,,1-DEC-2017,F.G. KONDEV and  S. KUMAR,2024-04-27,ENSDF
